epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,41.5981,0.93305,0.82759,1,0.57177,0.00031438,0.00031438,0.00031438
2,82.9772,0.46126,0.94828,1,0.20662,0.000621829,0.000621829,0.000621829
3,122.46,0.17442,0.97414,1,0.12787,0.000907586,0.000907586,0.000907586
4,162.468,0.15749,0.96552,1,0.08326,0.00117165,0.00117165,0.00117165
5,201.695,0.15286,0.9569,1,0.12004,0.00124037,0.00124037,0.00124037
6,241.91,0.09801,0.9569,1,0.13027,0.00119322,0.00119322,0.00119322
7,281.74,0.07578,0.94828,1,0.1275,0.00114606,0.00114606,0.00114606
8,322.309,0.08091,0.97414,1,0.08738,0.0010989,0.0010989,0.0010989
9,361.683,0.08046,0.97414,1,0.10072,0.00105174,0.00105174,0.00105174
10,405.311,0.08969,0.9569,1,0.12845,0.00100459,0.00100459,0.00100459
11,455.006,0.07497,0.96552,1,0.14748,0.00095743,0.00095743,0.00095743
12,504.742,0.07512,0.98276,1,0.06883,0.000910273,0.000910273,0.000910273
13,558.527,0.0436,0.98276,1,0.09021,0.000863116,0.000863116,0.000863116
14,599.493,0.05706,0.97414,1,0.10241,0.000815959,0.000815959,0.000815959
15,639.38,0.03068,0.97414,1,0.10251,0.000768802,0.000768802,0.000768802
16,679.59,0.02987,0.96552,1,0.08761,0.000721645,0.000721645,0.000721645
17,719.452,0.01697,0.96552,1,0.07923,0.000674488,0.000674488,0.000674488
18,760.708,0.01815,0.97414,1,0.06565,0.000627331,0.000627331,0.000627331
19,818.831,0.03812,0.97414,1,0.07272,0.000580174,0.000580174,0.000580174
20,878.909,0.02433,0.98276,1,0.05143,0.000533017,0.000533017,0.000533017
21,927.111,0.01756,0.99138,1,0.05497,0.00048586,0.00048586,0.00048586
22,981.444,0.02545,0.99138,1,0.05002,0.000438703,0.000438703,0.000438703
23,1021.75,0.01704,0.99138,1,0.06073,0.000391546,0.000391546,0.000391546
24,1073.41,0.01414,0.99138,1,0.10541,0.000344389,0.000344389,0.000344389
25,1127.93,0.01152,0.99138,1,0.09233,0.000297232,0.000297232,0.000297232
26,1166.82,0.02438,0.99138,1,0.06895,0.000250075,0.000250075,0.000250075
27,1206.9,0.04908,0.99138,1,0.06273,0.000202918,0.000202918,0.000202918
28,1253.41,0.01529,0.99138,1,0.08825,0.000155761,0.000155761,0.000155761
29,1293.49,0.02534,0.99138,1,0.07136,0.000108604,0.000108604,0.000108604
30,1337.29,0.01258,0.99138,1,0.09713,6.1447e-05,6.1447e-05,6.1447e-05
